17.7,15466,2353.8,3648,1872.1,6,3,0,0,1,1259.3,823.46,1,1
27590,2440.5,4440.2,1264,3968,3,7,1976.2,298.36,1,473.44,1352.6,1,1
43871,2215,1313.7,3304,976,6,3,1976.2,298.36,1,1157.5,344.12,1,1
56248,1442.4,4199.6,1192,4452,2,3,3453.2,738.8,1,531.74,2079.1,1,1
71761,19318,2561.3,10007,6516,15,6,3453.2,738.8,3,2307,2534.1,1,1
1.1413e+05,24781,11436,10015,5852,7,6,NaN,975.33,0,5927,7050.2,2,0
1.6582e+05,7904.9,3244.6,6896,2700,7,4,NaN,975.33,1,2408.4,1243,2,0
1.9111e+05,3093,6892.6,3848,6232,5,9,1347.2,474.92,2,1377.2,1425,2,0
2.1485e+05,7616.5,1337.8,6848,4336,10,6,1347.2,474.92,2,2189.3,1431.5,2,0
2.3915e+05,1713.2,16277,1496,5472,2,5,2533.3,491.57,1,842.87,1644.2,1,1
2.6787e+05,5592.6,3463.6,8440,8864,12,6,2533.3,491.57,3,2320.7,3482.8,1,1
2.9812e+05,7889.9,6872.4,8176,5623.9,4,9,1117.3,382.4,3,2942.6,1534,1,1
3.3033e+05,7692.2,3004.2,4256,2056,4,3,1117.3,382.4,1,1318,1222.7,1,1
3.5181e+05,1786.7,5120.9,2712,4732,3,7,1372.7,384.68,2,1037.4,1265.8,1,1
3.6991e+05,4714,2598.7,5648,1240,5,2,1372.7,384.68,1,1992.2,678.82,1,1
3.8847e+05,1102.3,6173.1,1320,5160,3,7,2643.5,348.1,1,496.67,1713.6,1,1
4.0599e+05,6376,1416.6,5760,2756,10,6,2643.5,348.1,4,1864,853.74,1,1
4.2592e+05,1448.5,9421.1,1463.9,6559.9,4,11,1872.8,311.29,2,543.47,1971,1,1
4.4877e+05,4445.8,4087.8,4999.9,2812,10,2,1872.8,311.29,2,1569.9,1893.3,2,0
4.6954e+05,1236.6,6323.4,1088,5900,3,8,1173.9,403.57,3,396.33,1676.4,1,1
4.8809e+05,3331.5,2969.7,3672,1316,5,2,1173.9,403.57,1,1020,1427.1,1,1
5.0394e+05,1482.9,8566.5,1264,5340,2,9,1001.9,408.48,3,678.82,1434,1,1
5.2424e+05,2652.1,2387.7,3424,1576,4,3,1001.9,408.48,1,1512.5,934.55,1,1
5.3818e+05,1014.9,4432.9,1336,5116,3,9,1614.5,270.48,2,444.73,1452.6,1,1
5.5433e+05,2651.1,2758.5,2936,712,4,2,1614.5,270.48,1,1104.8,718.11,1,1
5.6724e+05,5177.9,9952.1,7832,9600,6,12,1058.5,659.58,3,2923.4,2717.4,1,1
6.0395e+05,12568,2390.1,6776,9856,11,9,1058.5,659.58,2,1829.4,3746.3,2,0
6.3965e+05,1580.1,6118,2520,9020,4,11,2437.3,390.16,2,788.11,2748,2,0
6.6282e+05,13698,3114.8,8832,5788,8,3,2437.3,390.16,2,2083,2698,1,1
6.9805e+05,690.3,6325,2304,5000,6,5,3034.2,399.27,1,719.87,1665.3,1,1
7.1608e+05,8654.2,10901,10011,5872,15,4,3034.2,399.27,4,3204.8,2323,2,0
7.5588e+05,2551.4,5316.5,3040,6372,5,9,1799,424.33,2,854.68,1879.7,2,0
7.7738e+05,16583,2669.2,8352,8292,8,4,1799,424.33,2,2311.9,3479.7,2,0
8.1751e+05,4872.3,14827,3608,7876,5,15,1227.5,335.41,3,908.89,2161.5,1,1
8.5299e+05,6471.7,2962.2,6592,5824,9,5,1227.5,335.41,2,1919.6,2251.4,2,0
8.7913e+05,13131,11235,2984,7976,5,16,1210.8,287.3,3,687.53,1967.5,1,1
9.186e+05,19870,2877.5,7784,2040,9,3,1210.8,287.3,2,2330.9,1173.3,2,0
9.5538e+05,4448.5,11002,10014,5808,5,7,2130.7,309.32,2,3145.3,3597.6,2,0
9.9092e+05,7240.2,3267.9,6784,3716,8,2,2130.7,309.32,2,1867.9,2250.9,2,0
1.0155e+06,1203.5,5143.7,2343.9,7888,5,18,936.43,344.76,3,771.87,2104.9,1,1
1.0358e+06,11628,1777.5,7352,2716.1,12,3,936.43,344.76,2,1966.6,1462.7,2,0
1.0632e+06,2081.6,19731,2016,7744,5,16,1169.5,323.96,3,527.91,1707.6,1,1
1.0988e+06,6747.7,1587.5,7960,3804,15,5,1169.5,323.96,2,1948.3,1214.8,1,1
1.1226e+06,1075.5,4884,1688,7760,4,19,759.33,321.62,4,567.28,2128.1,1,1
1.1425e+06,5229.3,4387.7,7056,5732,15,3,759.33,321.62,2,1956.8,2693.3,2,0
1.1688e+06,1315.5,13167,1552,7696,2,16,1267.8,296.38,3,627.91,1764.9,1,1
1.1961e+06,7643.8,2156.7,8112,3768,14,4,1267.8,296.38,1,2093.6,1490.9,1,1
1.2218e+06,1389.7,13140,848,6316,3,15,943.93,277.11,3,320.13,1669.5,1,1
1.2474e+06,6221.2,1486.4,6776,3152,16,5,943.93,277.11,2,1733.3,1196.8,1,1
1.2691e+06,1028.7,3328.1,1088,8808,3,13,1826.9,472.62,2,272.16,1949.9,1,1
1.2879e+06,4807.7,2482.7,4320,2920,7,4,1826.9,472.62,1,1668.5,990.97,2,0
1.3063e+06,1149.1,8195.9,1432,7260,4,17,879.38,287.88,4,467.65,1811.8,1,1
1.328e+06,3139,1723.5,5855.9,2388,16,4,879.38,287.88,1,1629,941.55,1,1
1.345e+06,565.5,4849.3,1984,8371.9,6,17,1073.6,328.23,3,639.59,2051,1,1
1.365e+06,2728.4,2009.3,6656,2276,18,4,1073.6,328.23,1,1928.5,784.37,1,1
1.3831e+06,867.2,13001,2000,7132,6,20,1128.3,272.9,2,569.41,1874.4,1,1
1.4107e+06,2808.6,2316.7,5904,2076,14,5,1128.3,272.9,1,1719.8,958.21,1,1
1.428e+06,470.4,4887.6,920,7788,3,19,849.77,322.58,3,332.2,2042.8,1,1
1.4462e+06,4443,2981.7,3520,1552,5,3,849.77,322.58,1,1412,924.72,1,1
1.4630e+06,551.6,6000.1,655.9,6551.9,2,17,864.27,255.01,3,243.24,1588.6,1,1
1.4807e+06,1384.6,2292.7,5567.9,1544,12,3,864.27,255.01,2,1410.2,911.6,1,1
1.4955e+06,750.5,9121,1560,5932,5,13,1153.3,313.33,2,521.86,1610.9,1,1
1.5167e+06,2338.9,1292.5,5360,1776,13,4,1153.3,313.33,2,1536.5,606.09,1,1
1.5311e+06,1179.4,10333,1432,9000,5,22,621.26,345.61,5,473.51,2367.1,1,1
1.5569e+06,2158.9,1624,6144,3268,13,6,621.26,345.61,2,1766.8,1022.6,1,1
1.5744e+06,644.1,5213.6,1088,6288,3,12,1466.3,324.37,2,353.09,1767.9,2,0
1.5921e+06,5683.2,1366.9,6672,1912,12,3,1466.3,324.37,5,1617.5,817.96,1,1
1.6119e+06,1409.1,8082.4,1727.9,6360,5,14,1420.9,275.1,2,589.82,1761.8,1,1
1.6339e+06,2594.1,1711.5,6872,1840,14,3,1420.9,275.1,3,1917.4,688.38,1,1
1.6514e+06,710.9,6950.8,1504,7452,2,17,1082.1,302.58,3,791.96,1995.2,1,1
1.6717e+06,3707.1,2316.7,6344,3036,14,6,1082.1,302.58,2,1701.1,894.25,1,1
1.6911e+06,696,5929.6,2168,7240,6,15,1144.7,282.73,3,703.47,1917.3,1,1
1.7111e+06,29392,1178.5,5840,1668,11,3,1144.7,282.73,2,1425.1,612.16,2,0
1.7538e+06,1835,17219,840,6099.9,2,13,1491.9,281.21,2,806.82,1586.8,1,1
1.7834e+06,5495.7,1833,5832,2135.9,12,6,1491.9,281.21,2,1583.6,644.7,1,1
1.8024e+06,761.8,11848,2176,7212,6,17,995.23,304.18,3,723.89,1808,1,1
1.8284e+06,2641.1,1394,6640,2232,17,4,995.23,304.18,2,1782.7,825.1,1,1
1.8457e+06,1507.5,5650.3,600,5688,2,10,1758.2,275.94,2,243.24,1569.9,1,1
1.8632e+06,3104.7,1822.3,5472,2692,12,4,1758.2,275.94,1,1428.3,964.14,1,1
1.8808e+06,587.7,4430.3,1104,7488,3,15,1802,295.68,2,388.17,2032.9,1,1
